word,article,english,example
Statistik,die,add English meaning,"Die Statistik zeigt, dass jeder zweite ein Fahrrad besitzt."
statistisch,,add English meaning,Die statistischen Ergebnisse zeigen eine gute Entwicklung.
statt,,add English meaning,Kann ich diese Woche statt Donnerstag am Freitag kommen?
stattfinden,,add English meaning,Das Spiel findet auch bei Regen statt.
Stau,der,add English meaning,Auf der A3 gibt es wegen eines Unfalls 5 km Stau.
Staub,der,add English meaning,Ich habe überall Staub gewischt.
staubsaugen,,add English meaning,Ich muss heute in meiner Wohnung noch staubsaugen.
stechen,,add English meaning,Stefan wird beim Zelten immer von den Mücken gestochen.
stecken,,add English meaning,Wo ist denn mein Pass? Ich hatte ihn doch in die Handtasche gesteckt.
Steckdose,die,add English meaning,Es gibt drei Steckdosen in diesem Zimmer.
Stecker,der,add English meaning,In meinem Beruf muss ich viel stehen.
stehen bleiben,,add English meaning,Bitte bleiben Sie stehen.
stehlen,,add English meaning,Gestern hat mir jemand im Zug meine Uhr gestohlen.
steigen,,add English meaning,Die Preise für Milch und Gemüse sind schon wieder gestiegen.
steil,,add English meaning,Die Straße zu unserem Haus ist sehr steil.
Stein,der,add English meaning,Die Kinder werfen Steine ins Wasser.
Stelle,die,add English meaning,Wir treffen uns hier an dieser Stelle.
stellen,,add English meaning,Stell das Bier in den Kühlschrank!
Stempel,der,add English meaning,Der Stempel ist ein nützliches Wort.
gestorben,,add English meaning,Vater ist gestern gestorben.
Stern,der,add English meaning,Heute sieht man viele Sterne am Himmel.
Steuer,die,add English meaning,Wir müssen immer mehr Steuern zahlen.
Steward,der,add English meaning,Die Stewardess bringt das Mittagessen.
Stewardess,die,add English meaning,Die Stewardess ist ein nützliches Wort.
Stift,der,add English meaning,Kannst du mir bitte einen Stift geben?
Stil,der,add English meaning,Ihr Stil ist sehr elegant.
stilistisch,,add English meaning,Das Wort 'stilistisch' ist nützlich.
still,,add English meaning,Sei doch mal einen Moment still!
Stiefel,der,add English meaning,Wo ist die Toilette? – Die Stiege hoch und dann links.
Stiege,die,add English meaning,Die Stiege passt gut zu diesem Thema.
Stiegenhaus,das,add English meaning,Das Stiegenhaus ist heute wichtig.
Stimme,die,add English meaning,Ich habe dich sofort an der Stimme erkannt.
stimmen,,add English meaning,Meine Adresse stimmt nicht mehr.
Stimmung,die,add English meaning,Es war eine tolle Party. Die Stimmung war sehr gut.
stinken,,add English meaning,Was stinkt denn hier so? – Das ist der Fisch. Er ist nicht mehr frisch.
Stock,der,add English meaning,Der Stock ist heute wichtig.
Stockwerk,das,add English meaning,Das Gebäude hat zwanzig Stockwerke.
Stoff,der,add English meaning,Was für ein Stoff ist das? – Wolle.
stolz,,add English meaning,Ich bin stolz auf dich. Das hast du sehr gut gemacht.
stoppen,,add English meaning,"Die Polizei hat mich gestoppt, weil ich bei Rot über die Ampel gefahren bin."
stören,,add English meaning,Darf ich Sie einen Augenblick stören?
Störung,die,add English meaning,Entschuldigen Sie bitte die Störung. Wie haben Sie sich denn verletzt? – Ich habe mich an der Autotür gestoßen.
Strafe,die,add English meaning,Schwarzfahren kostet 60 Euro Strafe.
strafbar,,add English meaning,"Was du da machst, ist strafbar."
Strafzettel,der,add English meaning,So ein Pech! Ich habe einmal falsch geparkt und sofort einen Strafzettel bekommen. Im Urlaub bin ich am liebsten am Strand.
Straße,die,add English meaning,Wir wohnen in einer sehr kleinen Straße.
Strecke,die,add English meaning,Die Strecke steht auf meiner Liste.
Streichholz,das,add English meaning,Ich hätte gern eine Schachtel Streichhölzer.
streiken,,add English meaning,Die Arbeiter streiken für höhere Löhne.
Streik,der,add English meaning,Der Streik passt gut zu diesem Thema.
Streit,der,add English meaning,Der Streit ist heute wichtig.
streng,,add English meaning,Unsere Tochter hat einen sehr strengen Lehrer.
Stress,der,add English meaning,Ich habe bei der Arbeit viel Stress.
Strom,der,add English meaning,Wie kann ich im Haushalt Strom sparen?
Strumpf,der,add English meaning,Wo sind meine roten Strümpfe?
Stück/-stück,das,add English meaning,Ich nehme zwei Stück Zucker in den Kaffee.
Studie,die,add English meaning,Wir führen eine Studie über Arbeitslosigkeit durch.
studieren,,add English meaning,Mein Sohn will Medizin studieren.
Student,der,add English meaning,en Schüler und Studenten zahlen die n Hälfte.
Studentin,die,add English meaning,Die Studentin passt gut zu diesem Thema.
Studierende,der,add English meaning,Der Studierende ist heute wichtig.
Studierende,die,add English meaning,n Seminar. Sie brauchen für diese Stelle ein abgeschlossenes Studium.
Studium,das,add English meaning,Das Studium kommt in der Prüfung vor.
Studio,das,add English meaning,Zu Gast im Studio sind heute...
Stufe,die,add English meaning,Die Stufe passt gut zu diesem Thema.
Stuhl,der,add English meaning,Da hinten ist noch ein Stuhl frei.
stumm,,add English meaning,Stell bitte dein Handy leise oder auf stumm.
Stunde,die,add English meaning,Ich bin in einer Stunde wieder zurück.
Sturm,der,add English meaning,Im Radio haben sie Regen und Sturm angesagt.
stürzen,,add English meaning,Ich bin auf der Straße gestürzt und habe mir den Fuß gebrochen.
suchen,,add English meaning,Ich suche meine Brille.
Sucht,die,add English meaning,Die Sucht nach Medikamenten nimmt zu.
süchtig,,add English meaning,Ich bin süchtig nach Schokolade.
Suchtmittel,das,add English meaning,Manche Medikamente sind auch Suchtmittel. Die Summe scheint mir zu hoch!
super,,add English meaning,Das war ein super Film!
Supermarkt,der,add English meaning,Donnerstags gehe ich immer in den Supermarkt.
Suppe,die,add English meaning,Schmeckt dir die Suppe?
süß,,add English meaning,Ich esse gern süße Sachen.
Symbol,das,add English meaning,Das Herz ist ein Symbol für die Liebe.
sympathisch,,add English meaning,Ich finde unsere neue Kollegin sehr sympathisch.
System,das,add English meaning,Welches Betriebssystem hast du?
Szene,die,add English meaning,In dieser Szene des Films stirbt der Held.
Tabelle,die,add English meaning,Tragen Sie die richtige Information in die Tabelle ein.
Tablette,die,add English meaning,Nehmen Sie dreimal täglich eine Tablette.
Tafel,die,add English meaning,Der Lehrer schreibt das neue Wort an die Tafel.
Tagesablauf,der,add English meaning,Wie ist Ihr Tagesablauf?
Tal,das,add English meaning,Unser Dorf liegt in einem Tal.
Talent,das,add English meaning,Sie hat großes Talent für Musik.
tanken,,add English meaning,Wir müssen unbedingt tanken. Wir haben fast kein Benzin mehr.
Tankstelle,die,add English meaning,Die Tankstelle passt gut zu diesem Thema.
Tante,die,add English meaning,"Die Familie meiner Mutter ist sehr groß, daher habe ich viele Tanten."
tanzen,,add English meaning,Auf der Hochzeit haben wir viel getanzt.
Tanz,der,add English meaning,Der Tanz kommt in der Prüfung vor.
Tasche,die,add English meaning,"Ich habe nicht viel Gepäck, nur eine Tasche."
Taschengeld,das,add English meaning,Wie viel Taschengeld bekommst du im Monat?
Taschentuch,das,add English meaning,Hast du ein Taschentuch für mich?
Tasse,die,add English meaning,Die Tassen sind von meiner Großmutter.
Tastatur,die,add English meaning,Die Tastatur an meinem Computer ist ganz neu.
Taste,die,add English meaning,An der Fernbedienung ist eine Taste kaputt.
Tat,die,add English meaning,Dieser Mensch hat mit vielen guten Taten geholfen.
Täter,der,add English meaning,Der Täter ist heute wichtig.
Tätigkeit,die,add English meaning,Die Tätigkeit steht auf meiner Liste.
Tatsache,die,add English meaning,Das widerspricht den Tatsachen.
tatsächlich,,add English meaning,"Die Hose ist tatsächlich zu klein, obwohl sie so groß aussieht."
taub,,add English meaning,"Sie hört schlecht, sie ist schon fast taub."
tauchen,,add English meaning,Ich möchte im Urlaub wieder tauchen gehen.
tauschen,,add English meaning,Ich würde meinen Kuchen gegen dein Brot tauschen.
Technik,die,add English meaning,Ich verstehe nicht viel von Technik.
technisch,,add English meaning,Es gab ein technisches Problem.
Technologie,die,add English meaning,Große Fortschritte gab es in der Technologie.
Tee Tee ziehen lassen,der,add English meaning,Bitte einen Tee mit Zitrone.
teilen,,add English meaning,Mein Mann und ich teilen uns die Arbeit.
Teil,das,add English meaning,Dieses Teil müssen wir erst bestellen.
Teil,der,add English meaning,Der Teil ist ein nützliches Wort.
Teilzeit,die,add English meaning,Ich arbeite im Moment nur Teilzeit.
teilnehmen,,add English meaning,Leider konnte ich an dem Kurs nicht regelmäßig teilnehmen.
Teilnahme,die,add English meaning,Die Teilnahme am Gewinnspiel ist kostenlos.
Teilnehmer,der,add English meaning,Die Teilnehmerinnen aus unserem Kurs kommen aus verschiedenen Ländern.
telefonieren,,add English meaning,Ich muss kurz telefonieren.
Telefon,das,add English meaning,Das Telefon passt gut zu diesem Thema.
Teller,der,add English meaning,Stell bitte schon mal die Teller auf den Tisch!
Tempo,das,add English meaning,Hier darfst du nur Tempo 30 fahren.
Tennis,das,add English meaning,Ich spiele gern Tennis.
Teppich,der,add English meaning,Ich habe mir einen neuen Teppich gekauft.
Termin,der,add English meaning,Als Termin schlage ich den Mai vor.
Terminkalender,der,add English meaning,Hast du unser Treffen schon in deinen Terminkalender eingetragen? Setzen wir uns auf die Terrasse!
testen,,add English meaning,Testen Sie unsere Angebote kostenlos.
Test,der,add English meaning,Der Test kommt in der Prüfung vor.
teuer,,add English meaning,Ich finde das Geschäft nicht teuer.
Text,der,add English meaning,Lesen Sie den Text.
Theater,das,add English meaning,Wir gehen nächste Woche ins Theater. Wir haben im Kurs viel über das Thema Umwelt gesprochen.
theoretisch,,add English meaning,Ich habe die theoretische Prüfung bestanden. Nach der praktischen habe ich den Führerschein.
Theorie,die,add English meaning,Die Theorie kommt in der Prüfung vor.
Therapie,die,add English meaning,Die Therapie hat geholfen. Es geht mir schon viel besser.
Ticket,das,add English meaning,Wir müssen die Tickets für unseren Flug ausdrucken.
tief,,add English meaning,"Vorsicht, Kinder! Das Wasser ist hier sehr tief."
Tier,das,add English meaning,Er mag Tiere sehr und geht darum oft in den Zoo.
Haustier,das,add English meaning,"Hat deine Familie ein Haustier? − Ja, wir haben einen Hund."
Tierpark,der,add English meaning,Wollen wir am Samstag mit den Kindern in den Tierpark gehen?
Tipp,der,add English meaning,Kannst du mir einen Tipp geben? Wo finde ich billige Möbel?
tippen,,add English meaning,Wie schnell kannst du tippen?
getippt,,add English meaning,Ich kann 'getippt' in einem Satz benutzen.
Tisch,der,add English meaning,Das Essen steht schon auf dem Tisch.
Titel,der,add English meaning,Wie heißt der Film? – Ich weiß den Titel nicht mehr.
tödlich,,add English meaning,Dieses Gift kann für den Menschen tödlich sein.
Toilette,die,add English meaning,"Wo ist die Toilette, bitte?"
tolerant,,add English meaning,Die Nachbarn hören oft laut Musik. Wir müssen sehr tolerant sein.
toll,,add English meaning,Ich habe mir ein tolles Kleid gekauft.
radeiser,,add English meaning,Dieses Wort heißt 'radeiser'.
Topf,der,add English meaning,Dieses Jahr haben wir keine Töpfe mit Blumen auf dem Balkon.
Tor,das,add English meaning,Hinter dem Tor geht es zur Fabrik.
Torte,die,add English meaning,Zum Geburtstag backe ich dir eine Torte.
tot,,add English meaning,Meine Großeltern sind schon lange tot.
Tote,der,add English meaning,Bei dem Unfall gab es zwei Tote.
Tote,die,add English meaning,Die Tote passt gut zu diesem Thema.
total,,add English meaning,Der Film war total langweilig.
Tourismus,der,add English meaning,In dieser Gegend gibt es viel Tourismus.
Tourist,der,add English meaning,Der Tourist kommt in der Prüfung vor.
Touristin,die,add English meaning,Die Touristin ist ein nützliches Wort.
Tradition,die,add English meaning,Eine große Hochzeit mit vielen Leuten ist bei uns Tradition.
traditionell,,add English meaning,Ich übe das Wort 'traditionell'.
tragen,,add English meaning,Lass mich den Koffer tragen. Der ist zu schwer für dich.
trainieren,,add English meaning,Wir trainieren einmal pro Woche im Sportverein.
Trainer,der,add English meaning,Der Trainer ist ein nützliches Wort.
Training,das,add English meaning,Jeden Dienstag ist Training.
Träne,die,add English meaning,Sie trocknet dem Kind die Tränen.
transportieren,,add English meaning,Wie willst du die Möbel denn transportieren?
Transport,der,add English meaning,Ich habe schlecht geträumt.
träumen,,add English meaning,'träumen' kommt in vielen Texten vor.
Traum,der,add English meaning,-e Mein Traum ist ein eigenes Geschäft. aumMein Traumberuf ist Feuerwehrmann.
treffen,,add English meaning,Wir treffen uns immer freitags.
Treffpunkt,der,add English meaning,e Unser Treffpunkt ist um 17 Uhr am Hauptbahnhof. Welchen Sport treibst du?
treiben,,add English meaning,Ich wiederhole heute 'treiben'.
getrieben trennen,,add English meaning,Wir leben getrennt.
Trennung,die,add English meaning,Die Trennung von der Familie war schwierig.
getrennt leben,,add English meaning,Das Wort 'getrennt leben' ist im Alltag nützlich.
Treppe,die,add English meaning,Wo ist die Toilette? – Die Treppe hoch und dann links.
Treppenhaus,das,add English meaning,Das Treppenhaus kommt in der Prüfung vor.
treten,,add English meaning,Ich bin in ein Stück Glas getreten.
treu,,add English meaning,Herr Maier ist ein treuer Kunde von uns.
trinken,,add English meaning,Trinken Sie einen Tee mit uns?
Trinkgeld,das,add English meaning,Ich habe dem Kellner zwei Euro Trinkgeld gegeben.
trocken,,add English meaning,Die Wäsche ist noch nicht trocken.
trocknen,,add English meaning,Ich habe mir die Haare getrocknet.
Tropfen,die,add English meaning,Hast du die Tropfen schon genommen?
trotz,,add English meaning,Trotz Grippe bin ich zur Arbeit gegangen.
trotzdem,,add English meaning,Es war ziemlich kalt. Trotzdem bin ich schwimmen gegangen.
Tuch,das,add English meaning,Wo hast du dieses schöne Tuch gekauft?
tun,,add English meaning,Ich habe heute viel zu tun.
Tür,die,add English meaning,Machen Sie bitte die Tür zu! Es zieht.
Turm,der,add English meaning,"Kommen Sie auf den Turm, von hier sieht man die ganze Stadt."
Tüte,die,add English meaning,Brauchen Sie eine Tüte für den Salat?
Typ,der,add English meaning,Mein Nachbar ist ein netter Typ.
typisch,,add English meaning,'typisch' kommt in vielen Texten vor.
üben,,add English meaning,Ich lerne gerade Gitarre spielen. Ich übe jeden Tag zwei Stunden.
Übung,die,add English meaning,Die Übung ist heute wichtig.
über,,add English meaning,Die Müllers wohnen direkt über uns.
überall,,add English meaning,"Ich habe überall gesucht, aber meine Brille ist weg."
überfahren,,add English meaning,Gestern hat ein Autofahrer einen Hund n überfahren.
überhaupt,,add English meaning,Die Suppe schmeckt mir überhaupt nicht.
überholen,,add English meaning,Hier dürfen Lkws nicht überholen.
überlegen,,add English meaning,Ich kann mich nicht entscheiden. Ich muss mir das noch überlegen.
übermorgen,,add English meaning,Morgen kann ich nicht. Wir sehen uns übermorgen.
übernachten,,add English meaning,Wir haben auf dem Campingplatz übernachtet.
Übernachtung,die,add English meaning,In diesem Hotel kostet die Übernachtung mit Frühstück 90 Euro.
übernehmen,,add English meaning,Ich habe das Geschäft von meinem Vater übernommen.
überprüfen,,add English meaning,"Bitte überprüfen Sie, ob Ihr Name richtig geschrieben ist."
überqueren,,add English meaning,Bitte die Straße nur an der Ampel überqueren.
überraschen,,add English meaning,"Ich bin ganz überrascht, dass die Wohnung so billig ist."
Überraschung,die,add English meaning,Ich habe eine Überraschung für dich.
überreden,,add English meaning,"Zuerst wollte ich nicht, aber mein Bruder hat mich überredet, einen Englischkurs zu machen."
Überschrift,die,add English meaning,Die Überschrift steht auf meiner Liste.
übersetzen,,add English meaning,Können Sie mir bitte diesen Brief übersetzen?
Übersetzer,der,add English meaning,Meine Tochter möchte als Übersetzerin arbeiten.
Übersetzung,die,add English meaning,Die Übersetzung des Buches ist sehr gut.
Überstunde,die,add English meaning,Ich muss heute Überstunden machen.
überübertreiben,,add English meaning,Ein bisschen Sport ist gesund. Aber man sollte es nicht übertreiben.
überweisen,,add English meaning,Ich überweise dir das Geld.
Überweisung,die,add English meaning,Sie können bar oder per Überweisung bezahlen.
überzeugt,,add English meaning,"Ich bin fest davon überzeugt, dass meine Entscheidung richtig ist."
Überzeugung,die,add English meaning,Wie bist du zu dieser Überzeugung gekommen?
üblich,,add English meaning,"In Deutschland ist es üblich, früh zu Abend zu essen."
übrig,,add English meaning,Ist noch etwas zu essen übrig?
übrigens,,add English meaning,"Übrigens, kennst du schon die neuen Nachbarn?"
Ufer,das,add English meaning,Er schwimmt ans Ufer zurück.
um,,add English meaning,Wir treffen uns um 8 Uhr.
umarmen,,add English meaning,Lass dich zum Abschied umarmen.
um … zu umdrehen,,add English meaning,Ich wiederhole heute 'um … zu umdrehen'.
Umfrage,die,add English meaning,Wir machen eine Umfrage zum Thema Umweltschutz.
Umgebung,die,add English meaning,In der Umgebung von Berlin kann man schöne Ausflüge machen.
umgehen,,add English meaning,Er kann sehr gut mit Kindern umgehen.
umgekehrt,,add English meaning,"Nein, umgekehrt: erst der Vorname, dann der Nachname."
Umleitung,die,add English meaning,Es gibt wegen des Unfalls eine Umleitung.
umso,,add English meaning,"Je früher wir dort sind, umso besser sind unsere Chancen auf einen guten Sitzplatz."
umsonst,,add English meaning,Ich wiederhole heute 'umsonst'.
umsteigen,,add English meaning,In Ulm müssen Sie umsteigen.
umtauschen,,add English meaning,Ich möchte diese Bluse umtauschen. Sie passt mir nicht.
Umtausch,der,add English meaning,Ein Umtausch ist leider nicht möglich.
Umwelt,die,add English meaning,Alte Autos sind ein Problem für die Umwelt.
Umweltschutz,der,add English meaning,Das Land muss mehr Geld für Umweltschutz ausgeben.
Umweltverschmutzung,die,add English meaning,Die Umweltverschmutzung nimmt weiter zu.
umziehen,,add English meaning,Das Verb 'umziehen' ist wichtig.
Umzug,der,add English meaning,Der Umzug ist nächste Woche.
sich umziehen,,add English meaning,Ich übe das reflexive Verb 'umziehen'.
umgezogen,,add English meaning,Ich wiederhole heute 'umgezogen'.
ununbedingt,,add English meaning,Der Verkäufer war sehr unfreundlich.
und,,add English meaning,Ich habe heute und morgen frei.
Unfall,der,add English meaning,Ich hatte letzte Woche einen Unfall.
ungefähr,,add English meaning,"Wie weit ist es bis zum Bahnhof? – Nicht weit, ungefähr zehn Minuten zu Fuß."
ungewöhnlich,,add English meaning,"Ich finde diese Speise ungewöhnlich, aber sie schmeckt gut."
unglaublich,,add English meaning,Es ist unglaublich. Schon wieder so ein Unglück.
Unglück,das,add English meaning,Bei dem Unglück gab es viele Verletzte.
unheimlich,,add English meaning,Ich mag dieses Haus nicht. Es sieht unheimlich aus.
Uniform,die,add English meaning,"In der Schule, die sie besucht, trägt man Uniformen."
Universität,die,add English meaning,Mein Sohn studiert an der Universität.
unten,,add English meaning,"Wir wohnen im Stock, meine Eltern unten im Stock."
unter,,add English meaning,Unter uns wohnt eine Familie mit drei Kindern.
unterunterbrechen,,add English meaning,Wir unterbrechen die Sendung für eine wichtige Nachricht.
Unterhaltung,die,add English meaning,Wir wünschen Ihnen gute Unterhaltung.
Unterkunft,die,add English meaning,Ich komme drei Tage nach Hamburg und suche eine günstige Unterkunft.
Unterlagen,die,add English meaning,Ich schicke Ihnen alle Unterlagen mit der Post zu.
unterlassen,,add English meaning,Das Rauchen auf den Gängen ist zu unterlassen.
unternehmen,,add English meaning,Wollen wir heute Abend noch etwas unternehmen?
Unternehmer,der,add English meaning,Sie ist erfolgreiche Unternehmerin.
unterrichten,,add English meaning,Meine Frau unterrichtet Spanisch.
Unterricht,der,add English meaning,Der Unterricht dauert von 17 bis 19 Uhr.
untersagt,,add English meaning,"Es ist untersagt, hier zu rauchen."
unterscheiden,,add English meaning,Ihr seid euch sehr ähnlich. Auf dem Foto kann man euch beide nicht unterscheiden.
Unterschied,der,add English meaning,"Können Sie mir sagen, was der Unterschied ist? Welche Fahrkarte ist günstiger?"
unterschiedlich,,add English meaning,"Mein Bruder und ich sind sehr unterschiedlich. Er interessiert sich für Mathematik, ich mich für Sprachen."
unterschreiben,,add English meaning,Unterschreiben Sie bitte hier unten rechts.
Unterschrift,die,add English meaning,Auf dem Schreiben fehlt die Unterschrift.
unterstreichen,,add English meaning,Wir sollen alle wichtigen Wörter unterstreichen.
unterstützen,,add English meaning,"Sie unterstützen mich, wo sie nur können."
Unterstützung,die,add English meaning,Ich nehme Ihre Unterstützung gern an.
untersuchen,,add English meaning,Sie sollten sich vom Arzt untersuchen lassen.
Untersuchung,die,add English meaning,Ich habe morgen eine Untersuchung im Krankenhaus.
unterwegs,,add English meaning,Warte auf mich. Ich bin unterwegs und komme gleich.
Urkunde,die,add English meaning,"Wenn wir das Spiel gewinnen, bekommen wir eine Urkunde."
Urlaub,der,add English meaning,CH:Ich habe noch drei Tage Urlaub.
Ursache,die,add English meaning,Kennt man schon die Unfallursache?
verursachen,,add English meaning,Dieser Busfahrer verursachte den Unfall.
ursprünglich,,add English meaning,Ursprünglich wollte ich in einem Restaurant arbeiten. Aber dann bin ich Busfahrerin geworden.
Urteil,das,add English meaning,Dein Urteil ist für mich sehr wichtig.
Vase,die,add English meaning,Hast du eine Vase für die Blumen?
Vater,der,add English meaning,Mein Vater arbeitet in einem Restaurant.
verabredet,,add English meaning,"Tut mir leid, ich habe keine Zeit. Ich bin mit meiner Freundin verabredet."
Verabredung,die,add English meaning,Ich wurde von meinen Freunden sehr nett verabschiedet.
Abschied,der,add English meaning,Das geht so nicht. Wir müssen die Organisation verändern.
Veranstaltung,die,add English meaning,Am Samstag ist unser Lokal geschlos sen. Wir haben eine Veranstaltung.
verantwortlich,,add English meaning,Sie sind für Ihre Kinder verantwortlich.
Verantwortung verbessern,die,add English meaning,Ich habe mein Deutsch verbessert.
verbieten,,add English meaning,Ich werde meinen Kindern das Rauchen verbieten.
Verbot,das,add English meaning,Ich bin für das Verbot dieses neuen Videospiels.
verboten,,add English meaning,In den meisten Restaurants ist Rauchen verboten.
verbinden,,add English meaning,Ich übe das Verb 'verbinden'.
Verbindung,die,add English meaning,Die Verbindung ist sehr gut. Ich kann direkt mit diesem Zug fahren und muss nicht umsteigen.
verbrauchen,,add English meaning,Wie viel Benzin verbraucht dein Auto?
Verbrecher,der,add English meaning,Ich werde alle Briefe verbrennen.
verbringen,,add English meaning,Wie haben Sie Ihren Urlaub verbracht?
Verdacht,der,add English meaning,"Wer hat das Geld aus der Kasse genommen? – Ich weiß es nicht, aber ich habe einen Verdacht."
verdächtig,,add English meaning,Die Tür war nicht abgeschlossen. Das ist verdächtig.
verdienen,,add English meaning,In diesem Beruf verdient man gut.
Verein,der,add English meaning,Ich bin schon seit 15 Jahren Mitglied in diesem Verein.
vereinbaren,,add English meaning,Können wir einen Termin vereinbaren?
Vergangenheit,die,add English meaning,In der Vergangenheit war das anders.
vergeblich,,add English meaning,Ich habe vergeblich versucht dich anzurufen.
vergessen,,add English meaning,Ich habe den Termin ganz vergessen.
vergleichen,,add English meaning,Vergleichen Sie die Angebote.
Vergleich,der,add English meaning,Ein Vergleich ist schwer möglich.
sich vergnügen,,add English meaning,Auf der Party habe ich mich sehr vergnügt.
Vergnügen,das,add English meaning,"Es ist ein Vergnügen, den Kindern beim Spielen zuzusehen."
vergrößern,,add English meaning,Können Sie das Foto vergrößern?
verhaften,,add English meaning,Die Polizei hat 23 Menschen verhaftet.
sich verhalten,,add English meaning,Der Mann hat sich uns gegenüber merkwürdig verhalten.
Verhalten,das,add English meaning,Das Verhalten ist heute wichtig.
Verhältnis,das,add English meaning,Ich habe ein gutes Verhältnis zu meinen Eltern.
verheiratet,,add English meaning,Mit wem sind Sie verheiratet?
verhindern,,add English meaning,Wir konnten den Unfall nicht verhindern.
verkaufen,,add English meaning,Ich habe unser altes Auto verkauft.
Verkäufer,der,add English meaning,Die Verkäuferin wird Ihnen gleich helfen.
Verkehr,der,add English meaning,Morgens ist hier immer viel Verkehr.
Verkehrsmittel,das,add English meaning,Es gibt kaum Parkplätze. Sie sollten mit öffentlichen Verkehrsmitteln fahren. Von welchem Verlag ist dieses Buch?
verlangen,,add English meaning,Jeden Tag Überstunden? Das können Sie nicht verlangen.
verlängern,,add English meaning,Ich muss meinen Pass verlängern lassen.
verlassen,,add English meaning,Ich habe die Party um 3 Uhr verlassen.
sich verlaufen,,add English meaning,Ich habe mich an der Hand verletzt.
Verletzung,die,add English meaning,Keine Angst. Die Verletzung ist nicht so schlimm.
sich verlieben,,add English meaning,Ich habe mich verliebt.
verliebt,,add English meaning,Ich bin in Francesco verliebt.
verlieren,,add English meaning,Ich habe meine Brieftasche verloren.
Verlierer,der,add English meaning,Sie ist eine gute Verliererin.
Verlust,der,add English meaning,Der Verlust meiner Uhr ärgert mich sehr.
vermeiden,,add English meaning,"Der Arzt sagt, ich soll Stress vermeiden."
vermieten,,add English meaning,Bei uns im Haus ist ein Zimmer zu vermieten.
Vermieter,der,add English meaning,"Unsere Vermieterin ist eine sehr nette, ältere Frau."
Vermietung,die,add English meaning,Mit der Vermietung von Wohnungen kann man viel Geld verdienen.
vermissen,,add English meaning,Ich vermisse meine Familie.
Vermittlung,die,add English meaning,Du suchst ein Zimmer? Dann frag bei der Vermittlung am Bahnhof nach.
vermuten,,add English meaning,"Ich vermute, sie wird heute nicht kommen."
vermutlich,,add English meaning,Vermutlich sagt er die Wahrheit.
vernünftig,,add English meaning,Seien Sie doch vernünftig!
verpacken,,add English meaning,Hast Du die Pakete gut verpackt?
verpassen,,add English meaning,Ich habe den Zug verpasst.
verpflegen,,add English meaning,Wir werden hier sehr gut mit Essen verpflegt.
verpflichtet,,add English meaning,"Sie sind verpflichtet, den Unfall zu melden."
verraten,,add English meaning,Wer hat dir das Geheimnis verraten?
verreisen,,add English meaning,Frau Dr. Müller ist zurzeit verreist.
verrückt,,add English meaning,Bist du verrückt geworden?!
Versammlung,die,add English meaning,Der Minister hielt bei der Versammlung eine Rede.
versäumen,,add English meaning,"Tut mir leid, ich habe die Anmeldefrist versäumt."
verschieben,,add English meaning,Leider muss ich den Termin verschieben.
verschieden,,add English meaning,Unsere beiden Kinder sind sehr verschieden.
verschreiben,,add English meaning,Die Ärztin hat mir Tabletten verschrieben.
verschwinden,,add English meaning,Mein Ausweis ist verschwunden. Hast du ihn vielleicht gesehen?
versichern,,add English meaning,Wollen Sie Ihr Gepäck versichern?
Versichertenkarte,die,add English meaning,Sie sollten eine Versicherung für Ihr Gepäck abschließen.
Versicherung,die,add English meaning,Die Versicherung kommt in der Prüfung vor.
Verspätung,die,add English meaning,Unser Zug hatte 10 Minuten Verspätung.
versprechen,,add English meaning,"Meine Mutter hat mir versprochen, mich abzuholen."
verständlich,,add English meaning,Ich übe das Wort 'verständlich'.
Verständnis verstecken,das,add English meaning,Ich habe das Geld hinter dem Regal versteckt.
versuchen,,add English meaning,Haben Sie es schon mal mit diesem Mittel versucht?
Versuch,der,add English meaning,In der Forschung werden viele Versuche gemacht.
verteilen,,add English meaning,Kannst du bitte schon mal die Gläser verteilen?
Vertrag,der,add English meaning,Sie beide müssen den Vertrag unterschreiben.
vertrauen,,add English meaning,Ich kenne dich gut. Ich vertraue dir.
Vertrauen,das,add English meaning,Ich habe Vertrauen zu Ihnen.
vertreten,,add English meaning,"Wer vertritt Sie, wenn Sie Urlaub machen?"
Vertreter,der,add English meaning,"Als Herr Dr. Müller in Urlaub war, bin ich zu seiner Vertreterin gegangen."
Vertretung,die,add English meaning,Herr Dr. Meyer macht für mich die Vertretung.
verurteilen,,add English meaning,Das Gericht hat den Täter zu einer Geldstrafe verurteilt.
Verwaltung,die,add English meaning,Sprechen Sie bitte mit der Verwaltung. Die können Ihnen helfen.
verwandt,,add English meaning,Sind Sie mit Frau Meyer verwandt?
Verwandte,der,add English meaning,Der Verwandte passt gut zu diesem Thema.
Verwandte,die,add English meaning,Die Verwandte ist heute wichtig.
verwechseln,,add English meaning,"Entschuldigen Sie, ich habe Sie mit jemandem verwechselt."
verwenden,,add English meaning,Dieses Wort wird oft verwendet.
verzeihen,,add English meaning,Das werde ich ihm nie verzeihen können. ung Verzeihung! Ich habe die falsche Nummer gewählt.
verzichten,,add English meaning,Ich verzichte heute auf den Kaffee.
Video,das,add English meaning,Ich habe den Film auf Video aufgenommen.
viel/viele,,add English meaning,Ich habe schon viel gelernt.
vielleicht,,add English meaning,Kommst du mit in die Stadt? Ich weiß noch nicht. Vielleicht.
