word,article,english,example
sonst,,otherwise; else,"Haben sie sonst noch einen Wunsch? – Nein, danke. Das ist alles."
sorgen,,to care for; to worry,Wer sorgt denn für die Kinder?
Sorge,die,worry; concern,Um Ihre Zukunft brauchen Sie sich keine Sorgen zu machen.
Soße/Sauce,die,sauce,Gibst du mir bitte mal die Soße?
Souvenir,das,souvenir,Ich habe ein paar Souvenirs aus dem Urlaub mitgebracht.
soviel,,as far as; as much as,"Soviel ich weiß, hat dieses Restaurant heute Ruhetag."
so viel/so viel wie,,so much; as much as,Ich habe so viel gegessen. Jetzt ist mir schlecht.
sowieso,,anyway,Willst du mir den Brief mitgeben? Ich gehe sowieso zur Post.
sowohl … als auch,,both ... and ...,Sowohl Sie als auch Ihre Frau müssen unterschreiben.
sozial,,social,Das System ist nicht sozial.
Sozialarbeiter,der,social worker,Die Sozialarbeiterin kommt einmal in der Woche.
spannend,,exciting,Das Spiel war spannend bis zur letzten Minute.
sparen,,to save; to economize,'sparen' kommt in vielen Texten vor.
gespart,,saved,"Um Strom zu sparen, schalten wir die Heizung nachts aus."
sparsam,,economical; frugal,Ich übe das Wort 'sparsam'.
Spaß,der,fun,Meine Arbeit macht mir viel Spaß.
spät,,late,'spät' kommt in vielen Texten vor.
spätestens,,at the latest,Dieses Wort heißt 'spätestens'.
spazieren gehen,,to go for a walk,Wir gehen sonntags immer spazieren.
spazieren,,to stroll; to walk,Ich übe das Verb 'spazieren'.
Spaziergang,der,walk; stroll,Abends mache ich oft einen Spaziergang durch das Viertel.
speichern,,to save; to store,Ich wiederhole heute 'speichern'.
Speisekarte,die,menu,"Bitte, die Speisekarte."
Speisewagen,der,dining car,Der Speisewagen passt gut zu diesem Thema.
Spezialistin,die,specialist,Die Spezialistin ist heute wichtig.
speziell,,special; specific,Ich suche einen ganz speziellen Ring für meine Freundin.
Spiegel,der,mirror,Im Bad hängt ein großer Spiegel.
Spiel,das,game,Monopoly ist ein ganz bekanntes Spiel.
Spieler,der,player,Für dieses Spiel braucht man zwei bis vier Spieler.
Spielplatz,der,playground,Die Kinder sind auf dem Spielplatz.
Spielzeug,das,toy,Zu Weihnachten wünschen sich die Kinder vor allem Spielzeug.
spitz,,sharp; pointed,Der Bleistift ist nicht spitz.
Sport,der,sport; sports,Für Sport interessiere ich mich sehr.
Sportart,die,type of sport,Welche Sportart findest du am besten?
Sportler,der,athlete,Sie ist eine gute Sportlerin.
sportlich,,athletic; sporty,Ich bin nicht sehr sportlich.
Sprache,die,language,Franco spricht mehrere Sprachen.
Fremdsprache,die,foreign language,Ich spreche drei Fremdsprachen.
Muttersprache,die,native language,Was ist Ihre Muttersprache?
Zweitsprache,die,second language,Deutsch ist seine Zweitsprache.
sprechen,,to speak,Können Sie bitte etwas lauter sprechen?
Sprechstunde,die,office hours; consultation hours,Frau Dr. Berger hat von 8 bis 12 Uhr Sprechstunde.
springen,,to jump,Wir waren im Schwimmbad. Mein Sohn ist immer wieder ins Wasser gesprungen.
Spritze,die,injection; syringe,Ich habe heute vom Arzt eine Spritze gegen die Schmerzen bekommen.
spülen,,to rinse; to wash dishes,Hast du das Geschirr gespült?
Spur,die,lane; track; trace,"Fahren Sie bitte auf der linken Spur, wenn Sie schneller fahren."
spüren,,to feel; to sense,Wo tut es weh? Spüren Sie das hier?
Stadion,das,stadium,Ich möchte am Samstag ins Stadion gehen. Da spielt meine Mannschaft.
Stadt,die,city; town,Heidelberg ist eine alte Stadt.
städtisch,,urban; municipal,Ich übe das Wort 'städtisch'.
Stadtplan,der,city map,Haben Sie einen Stadtplan?
stammen,,to come from; to originate,Ich wiederhole heute 'stammen'.
ständig,,constant; constantly,Ich habe schon ein paar Mal bei meiner Freundin angerufen. Es ist ständig besetzt.
Standpunkt,der,point of view; standpoint,Von seinem Standpunkt aus hat er recht.
Star,der,star,Diese Sängerin ist ein großer Star in Deutschland.
stark,,strong,Der Kaffee ist sehr stark.
starten,,to start,Das Flugzeug ist pünktlich gestartet.
Start,der,start,Bleiben Sie bitte während des Starts sitzen.
Station,die,station; stop,Sie müssen an der nächsten Station aussteigen.
Statistik,die,statistics,"Die Statistik zeigt, dass jeder zweite ein Fahrrad besitzt."
statistisch,,statistical,Die statistischen Ergebnisse zeigen eine gute Entwicklung.
statt,,instead of,Kann ich diese Woche statt Donnerstag am Freitag kommen?
stattfinden,,to take place,Das Spiel findet auch bei Regen statt.
Stau,der,traffic jam,Auf der A3 gibt es wegen eines Unfalls 5 km Stau.
Staub,der,dust,Ich habe überall Staub gewischt.
staubsaugen,,to vacuum,Ich muss heute in meiner Wohnung noch staubsaugen.
stechen,,to sting; to prick,Stefan wird beim Zelten immer von den Mücken gestochen.
stecken,,to be stuck; to put,Wo ist denn mein Pass? Ich hatte ihn doch in die Handtasche gesteckt.
Steckdose,die,socket; outlet,Es gibt drei Steckdosen in diesem Zimmer.
Stecker,der,plug,Der Stecker passt nicht in die Steckdose.
stehen bleiben,,to stop; to remain standing,Bitte bleiben Sie stehen.
stehlen,,to steal,Gestern hat mir jemand im Zug meine Uhr gestohlen.
steigen,,to rise; to climb,Die Preise für Milch und Gemüse sind schon wieder gestiegen.
steil,,steep,Die Straße zu unserem Haus ist sehr steil.
Stein,der,stone,Die Kinder werfen Steine ins Wasser.
Stelle,die,place; position; job,Wir treffen uns hier an dieser Stelle.
stellen,,to put; to place,Stell das Bier in den Kühlschrank!
Stempel,der,stamp,Der Stempel ist ein nützliches Wort.
gestorben,,died,Vater ist gestern gestorben.
Stern,der,star,Heute sieht man viele Sterne am Himmel.
Steuer,die,tax; steering wheel,Wir müssen immer mehr Steuern zahlen.
Steward,der,flight attendant; steward,Der Steward bringt das Mittagessen.
Stewardess,die,flight attendant; stewardess,Die Stewardess ist ein nützliches Wort.
Stift,der,pen,Kannst du mir bitte einen Stift geben?
Stil,der,style,Ihr Stil ist sehr elegant.
stilistisch,,stylistic,Das Wort 'stilistisch' ist nützlich.
still,,silent; still,Sei doch mal einen Moment still!
Stiefel,der,boot,Im Winter trage ich warme Stiefel.
Stiege,die,stairs,Die Stiege passt gut zu diesem Thema.
Stiegenhaus,das,stairwell,Das Stiegenhaus ist heute wichtig.
Stimme,die,voice,Ich habe dich sofort an der Stimme erkannt.
stimmen,,to be correct; to vote,Meine Adresse stimmt nicht mehr.
Stimmung,die,mood; atmosphere,Es war eine tolle Party. Die Stimmung war sehr gut.
stinken,,to stink,Was stinkt denn hier so? – Das ist der Fisch. Er ist nicht mehr frisch.
Stock,der,floor; stick,Der Stock ist heute wichtig.
Stockwerk,das,floor; story,Das Gebäude hat zwanzig Stockwerke.
Stoff,der,fabric; material,Was für ein Stoff ist das? – Wolle.
stolz,,proud,Ich bin stolz auf dich. Das hast du sehr gut gemacht.
stoppen,,to stop,"Die Polizei hat mich gestoppt, weil ich bei Rot über die Ampel gefahren bin."
stören,,to disturb; to bother,Darf ich Sie einen Augenblick stören?
Störung,die,disturbance; disruption,Entschuldigen Sie bitte die Störung.
Strafe,die,fine; penalty,Schwarzfahren kostet 60 Euro Strafe.
strafbar,,punishable; illegal,"Was du da machst, ist strafbar."
Strafzettel,der,parking ticket; fine notice,So ein Pech! Ich habe einmal falsch geparkt und sofort einen Strafzettel bekommen.
Straße,die,street; road,Wir wohnen in einer sehr kleinen Straße.
Strecke,die,route; distance,Die Strecke steht auf meiner Liste.
Streichholz,das,match,Ich hätte gern eine Schachtel Streichhölzer.
streiken,,to strike,Die Arbeiter streiken für höhere Löhne.
Streik,der,strike,Der Streik passt gut zu diesem Thema.
Streit,der,argument; dispute,Der Streit ist heute wichtig.
streng,,strict,Unsere Tochter hat einen sehr strengen Lehrer.
Stress,der,stress,Ich habe bei der Arbeit viel Stress.
Strom,der,electricity; power,Wie kann ich im Haushalt Strom sparen?
Strumpf,der,stocking; sock,Wo sind meine roten Strümpfe?
Stück/-stück,das,piece,Ich nehme zwei Stück Zucker in den Kaffee.
Studie,die,study,Wir führen eine Studie über Arbeitslosigkeit durch.
studieren,,to study,Mein Sohn will Medizin studieren.
Student,der,student,Schüler und Studenten zahlen die Hälfte.
Studentin,die,female student,Die Studentin passt gut zu diesem Thema.
Studierende,der,student; learner,Der Studierende ist heute wichtig.
Studierende,die,students,Die Studierenden brauchen für diese Stelle ein abgeschlossenes Studium.
Studium,das,studies; degree program,Das Studium kommt in der Prüfung vor.
Studio,das,studio,Zu Gast im Studio sind heute...
Stufe,die,step; level,Die Stufe passt gut zu diesem Thema.
Stuhl,der,chair,Da hinten ist noch ein Stuhl frei.
stumm,,silent; muted,Stell bitte dein Handy leise oder auf stumm.
Stunde,die,hour; lesson,Ich bin in einer Stunde wieder zurück.
Sturm,der,storm,Im Radio haben sie Regen und Sturm angesagt.
stürzen,,to fall; to crash,Ich bin auf der Straße gestürzt und habe mir den Fuß gebrochen.
suchen,,to search; to look for,Ich suche meine Brille.
Sucht,die,addiction,Die Sucht nach Medikamenten nimmt zu.
süchtig,,addicted,Ich bin süchtig nach Schokolade.
Suchtmittel,das,addictive substance,Manche Medikamente sind auch Suchtmittel.
super,,super; great,Das war ein super Film!
Supermarkt,der,supermarket,Donnerstags gehe ich immer in den Supermarkt.
Suppe,die,soup,Schmeckt dir die Suppe?
süß,,sweet,Ich esse gern süße Sachen.
Symbol,das,symbol,Das Herz ist ein Symbol für die Liebe.
sympathisch,,likable; pleasant,Ich finde unsere neue Kollegin sehr sympathisch.
System,das,system,Welches Betriebssystem hast du?
Szene,die,scene,In dieser Szene des Films stirbt der Held.
Tabelle,die,table; chart,Tragen Sie die richtige Information in die Tabelle ein.
Tablette,die,tablet; pill,Nehmen Sie dreimal täglich eine Tablette.
Tafel,die,board; bar,Der Lehrer schreibt das neue Wort an die Tafel.
Tagesablauf,der,daily routine,Wie ist Ihr Tagesablauf?
Tal,das,valley,Unser Dorf liegt in einem Tal.
Talent,das,talent,Sie hat großes Talent für Musik.
tanken,,to refuel,Wir müssen unbedingt tanken. Wir haben fast kein Benzin mehr.
Tankstelle,die,gas station,Die Tankstelle passt gut zu diesem Thema.
Tante,die,aunt,"Die Familie meiner Mutter ist sehr groß, daher habe ich viele Tanten."
tanzen,,to dance,Auf der Hochzeit haben wir viel getanzt.
Tanz,der,dance,Der Tanz kommt in der Prüfung vor.
Tasche,die,bag; pocket,"Ich habe nicht viel Gepäck, nur eine Tasche."
Taschengeld,das,pocket money; allowance,Wie viel Taschengeld bekommst du im Monat?
Taschentuch,das,tissue; handkerchief,Hast du ein Taschentuch für mich?
Tasse,die,cup,Die Tassen sind von meiner Großmutter.
Tastatur,die,keyboard,Die Tastatur an meinem Computer ist ganz neu.
Taste,die,key; button,An der Fernbedienung ist eine Taste kaputt.
Tat,die,deed; act,Dieser Mensch hat mit vielen guten Taten geholfen.
Täter,der,perpetrator; offender,Der Täter ist heute wichtig.
Tätigkeit,die,activity; occupation,Die Tätigkeit steht auf meiner Liste.
Tatsache,die,fact,Das widerspricht den Tatsachen.
tatsächlich,,actually; indeed,"Die Hose ist tatsächlich zu klein, obwohl sie so groß aussieht."
taub,,deaf,"Sie hört schlecht, sie ist schon fast taub."
tauchen,,to dive,Ich möchte im Urlaub wieder tauchen gehen.
tauschen,,to exchange; to swap,Ich würde meinen Kuchen gegen dein Brot tauschen.
Technik,die,technology; technique,Ich verstehe nicht viel von Technik.
technisch,,technical,Es gab ein technisches Problem.
Technologie,die,technology,Große Fortschritte gab es in der Technologie.
Tee,der,tea,Bitte einen Tee mit Zitrone.
teilen,,to divide; to share,Mein Mann und ich teilen uns die Arbeit.
Teil,das,part; piece,Dieses Teil müssen wir erst bestellen.
Teil,der,part,Der Teil ist ein nützliches Wort.
Teilzeit,die,part-time,Ich arbeite im Moment nur Teilzeit.
teilnehmen,,to participate,Leider konnte ich an dem Kurs nicht regelmäßig teilnehmen.
Teilnahme,die,participation,Die Teilnahme am Gewinnspiel ist kostenlos.
Teilnehmer,der,participant,Die Teilnehmerinnen aus unserem Kurs kommen aus verschiedenen Ländern.
telefonieren,,to telephone; to call,Ich muss kurz telefonieren.
Telefon,das,telephone; phone,Das Telefon passt gut zu diesem Thema.
Teller,der,plate,Stell bitte schon mal die Teller auf den Tisch!
Tempo,das,speed; tempo,Hier darfst du nur Tempo 30 fahren.
Tennis,das,tennis,Ich spiele gern Tennis.
Teppich,der,carpet,Ich habe mir einen neuen Teppich gekauft.
Termin,der,appointment; date,Als Termin schlage ich den Mai vor.
Terminkalender,der,appointment calendar; planner,Hast du unser Treffen schon in deinen Terminkalender eingetragen?
testen,,to test,Testen Sie unsere Angebote kostenlos.
Test,der,test,Der Test kommt in der Prüfung vor.
teuer,,expensive,Ich finde das Geschäft nicht teuer.
Text,der,text,Lesen Sie den Text.
Theater,das,theater,Wir gehen nächste Woche ins Theater.
theoretisch,,theoretical,Ich habe die theoretische Prüfung bestanden. Nach der praktischen habe ich den Führerschein.
Theorie,die,theory,Die Theorie kommt in der Prüfung vor.
Therapie,die,therapy,Die Therapie hat geholfen. Es geht mir schon viel besser.
Ticket,das,ticket,Wir müssen die Tickets für unseren Flug ausdrucken.
tief,,deep,"Vorsicht, Kinder! Das Wasser ist hier sehr tief."
Tier,das,animal,Er mag Tiere sehr und geht darum oft in den Zoo.
Haustier,das,pet,"Hat deine Familie ein Haustier? − Ja, wir haben einen Hund."
Tierpark,der,animal park; zoo,Wollen wir am Samstag mit den Kindern in den Tierpark gehen?
Tipp,der,tip; advice,Kannst du mir einen Tipp geben? Wo finde ich billige Möbel?
tippen,,to type,Wie schnell kannst du tippen?
getippt,,typed,Ich kann 'getippt' in einem Satz benutzen.
Tisch,der,table,Das Essen steht schon auf dem Tisch.
Titel,der,title,Wie heißt der Film? – Ich weiß den Titel nicht mehr.
tödlich,,deadly; fatal,Dieses Gift kann für den Menschen tödlich sein.
Toilette,die,toilet; restroom,"Wo ist die Toilette, bitte?"
tolerant,,tolerant,Die Nachbarn hören oft laut Musik. Wir müssen sehr tolerant sein.
toll,,great; fantastic,Ich habe mir ein tolles Kleid gekauft.
Paradeiser,der,tomato,Der Paradeiser ist in Österreich ein Wort für Tomate.
Topf,der,pot,Dieses Jahr haben wir keine Töpfe mit Blumen auf dem Balkon.
Tor,das,gate; goal,Hinter dem Tor geht es zur Fabrik.
Torte,die,cake; torte,Zum Geburtstag backe ich dir eine Torte.
tot,,dead,Meine Großeltern sind schon lange tot.
Tote,der,dead person,Bei dem Unfall gab es zwei Tote.
Tote,die,dead woman; female deceased person,Die Tote passt gut zu diesem Thema.
total,,totally; complete,Der Film war total langweilig.
Tourismus,der,tourism,In dieser Gegend gibt es viel Tourismus.
Tourist,der,tourist,Der Tourist kommt in der Prüfung vor.
Touristin,die,female tourist,Die Touristin ist ein nützliches Wort.
Tradition,die,tradition,Eine große Hochzeit mit vielen Leuten ist bei uns Tradition.
traditionell,,traditional,Ich übe das Wort 'traditionell'.
tragen,,to carry; to wear,Lass mich den Koffer tragen. Der ist zu schwer für dich.
trainieren,,to train,Wir trainieren einmal pro Woche im Sportverein.
Trainer,der,trainer; coach,Der Trainer ist ein nützliches Wort.
Training,das,training,Jeden Dienstag ist Training.
Träne,die,tear,Sie trocknet dem Kind die Tränen.
transportieren,,to transport,Wie willst du die Möbel denn transportieren?
Transport,der,transport,Der Transport der Möbel ist teuer.
träumen,,to dream,'träumen' kommt in vielen Texten vor.
Traum,der,dream,Mein Traum ist ein eigenes Geschäft.
treffen,,to meet,Wir treffen uns immer freitags.
Treffpunkt,der,meeting point,Unser Treffpunkt ist um 17 Uhr am Hauptbahnhof.
treiben,,to do; to drive; to play sports,Ich wiederhole heute 'treiben'.
trennen,,to separate,Wir leben getrennt.
Trennung,die,separation,Die Trennung von der Familie war schwierig.
getrennt leben,,to live separately,Das Wort 'getrennt leben' ist im Alltag nützlich.
Treppe,die,stairs,Wo ist die Toilette? – Die Treppe hoch und dann links.
Treppenhaus,das,stairwell,Das Treppenhaus kommt in der Prüfung vor.
treten,,to step; to kick,Ich bin in ein Stück Glas getreten.
treu,,loyal; faithful,Herr Maier ist ein treuer Kunde von uns.
trinken,,to drink,Trinken Sie einen Tee mit uns?
Trinkgeld,das,tip; gratuity,Ich habe dem Kellner zwei Euro Trinkgeld gegeben.
trocken,,dry,Die Wäsche ist noch nicht trocken.
trocknen,,to dry,Ich habe mir die Haare getrocknet.
Tropfen,die,drops,Hast du die Tropfen schon genommen?
trotz,,despite,Trotz Grippe bin ich zur Arbeit gegangen.
trotzdem,,nevertheless; still,Es war ziemlich kalt. Trotzdem bin ich schwimmen gegangen.
Tuch,das,cloth; scarf,Wo hast du dieses schöne Tuch gekauft?
tun,,to do,Ich habe heute viel zu tun.
Tür,die,door,Machen Sie bitte die Tür zu! Es zieht.
Turm,der,tower,"Kommen Sie auf den Turm, von hier sieht man die ganze Stadt."
Tüte,die,bag,Brauchen Sie eine Tüte für den Salat?
Typ,der,type; guy,Mein Nachbar ist ein netter Typ.
typisch,,typical,'typisch' kommt in vielen Texten vor.
üben,,to practice,Ich lerne gerade Gitarre spielen. Ich übe jeden Tag zwei Stunden.
Übung,die,exercise; practice,Die Übung ist heute wichtig.
über,,over; above; about,Die Müllers wohnen direkt über uns.
überall,,everywhere,"Ich habe überall gesucht, aber meine Brille ist weg."
überfahren,,to run over,Gestern hat ein Autofahrer einen Hund überfahren.
überhaupt,,at all; generally,Die Suppe schmeckt mir überhaupt nicht.
überholen,,to overtake; to pass,Hier dürfen Lkws nicht überholen.
überlegen,,to consider; to think over,Ich kann mich nicht entscheiden. Ich muss mir das noch überlegen.
übermorgen,,day after tomorrow,Morgen kann ich nicht. Wir sehen uns übermorgen.
übernachten,,to stay overnight,Wir haben auf dem Campingplatz übernachtet.
Übernachtung,die,overnight stay,In diesem Hotel kostet die Übernachtung mit Frühstück 90 Euro.
übernehmen,,to take over,Ich habe das Geschäft von meinem Vater übernommen.
überprüfen,,to check; to verify,"Bitte überprüfen Sie, ob Ihr Name richtig geschrieben ist."
überqueren,,to cross,Bitte die Straße nur an der Ampel überqueren.
überraschen,,to surprise,"Ich bin ganz überrascht, dass die Wohnung so billig ist."
Überraschung,die,surprise,Ich habe eine Überraschung für dich.
überreden,,to persuade,"Zuerst wollte ich nicht, aber mein Bruder hat mich überredet, einen Englischkurs zu machen."
Überschrift,die,heading; title,Die Überschrift steht auf meiner Liste.
übersetzen,,to translate,Können Sie mir bitte diesen Brief übersetzen?
Übersetzer,der,translator,Meine Tochter möchte als Übersetzerin arbeiten.
Übersetzung,die,translation,Die Übersetzung des Buches ist sehr gut.
Überstunde,die,overtime hour,Ich muss heute Überstunden machen.
übertreiben,,to exaggerate,Ein bisschen Sport ist gesund. Aber man sollte es nicht übertreiben.
überweisen,,to transfer money,Ich überweise dir das Geld.
Überweisung,die,bank transfer; referral,Sie können bar oder per Überweisung bezahlen.
überzeugt,,convinced,"Ich bin fest davon überzeugt, dass meine Entscheidung richtig ist."
Überzeugung,die,conviction; belief,Wie bist du zu dieser Überzeugung gekommen?
üblich,,usual; customary,"In Deutschland ist es üblich, früh zu Abend zu essen."
übrig,,left over; remaining,Ist noch etwas zu essen übrig?
übrigens,,by the way,"Übrigens, kennst du schon die neuen Nachbarn?"
Ufer,das,shore; bank,Er schwimmt ans Ufer zurück.
um,,around; at; in order to,Wir treffen uns um 8 Uhr.
umarmen,,to hug; to embrace,Lass dich zum Abschied umarmen.
um ... zu,,in order to,"Ich lerne Deutsch, um in Deutschland zu arbeiten."
Umfrage,die,survey; poll,Wir machen eine Umfrage zum Thema Umweltschutz.
Umgebung,die,surroundings; area,In der Umgebung von Berlin kann man schöne Ausflüge machen.
umgehen,,to handle; to deal with,Er kann sehr gut mit Kindern umgehen.
umgekehrt,,the other way around; reversed,"Nein, umgekehrt: erst der Vorname, dann der Nachname."
Umleitung,die,detour,Es gibt wegen des Unfalls eine Umleitung.
umso,,all the more,"Je früher wir dort sind, umso besser sind unsere Chancen auf einen guten Sitzplatz."
umsonst,,free; in vain,Ich wiederhole heute 'umsonst'.
umsteigen,,to change trains,In Ulm müssen Sie umsteigen.
umtauschen,,to exchange; to return,Ich möchte diese Bluse umtauschen. Sie passt mir nicht.
Umtausch,der,exchange; return,Ein Umtausch ist leider nicht möglich.
Umwelt,die,environment,Alte Autos sind ein Problem für die Umwelt.
Umweltschutz,der,environmental protection,Das Land muss mehr Geld für Umweltschutz ausgeben.
Umweltverschmutzung,die,environmental pollution,Die Umweltverschmutzung nimmt weiter zu.
umziehen,,to move,Das Verb 'umziehen' ist wichtig.
Umzug,der,move; parade,Der Umzug ist nächste Woche.
sich umziehen,,to change clothes,Ich übe das reflexive Verb 'umziehen'.
umgezogen,,moved; changed clothes,Ich wiederhole heute 'umgezogen'.
unfreundlich,,unfriendly,Der Verkäufer war sehr unfreundlich.
und,,and,Ich habe heute und morgen frei.
Unfall,der,accident,Ich hatte letzte Woche einen Unfall.
ungefähr,,approximately; about,"Wie weit ist es bis zum Bahnhof? – Nicht weit, ungefähr zehn Minuten zu Fuß."
ungewöhnlich,,unusual,"Ich finde diese Speise ungewöhnlich, aber sie schmeckt gut."
unglaublich,,incredible; unbelievable,Es ist unglaublich. Schon wieder so ein Unglück.
Unglück,das,misfortune; accident,Bei dem Unglück gab es viele Verletzte.
unheimlich,,creepy; eerie,Ich mag dieses Haus nicht. Es sieht unheimlich aus.
Uniform,die,uniform,"In der Schule, die sie besucht, trägt man Uniformen."
Universität,die,university,Mein Sohn studiert an der Universität.
unten,,below; downstairs,"Wir wohnen im Stock, meine Eltern unten im Stock."
unter,,under; below,Unter uns wohnt eine Familie mit drei Kindern.
unterbrechen,,to interrupt,Wir unterbrechen die Sendung für eine wichtige Nachricht.
Unterhaltung,die,entertainment; conversation,Wir wünschen Ihnen gute Unterhaltung.
Unterkunft,die,accommodation,Ich komme drei Tage nach Hamburg und suche eine günstige Unterkunft.
Unterlagen,die,documents; papers,Ich schicke Ihnen alle Unterlagen mit der Post zu.
unterlassen,,to refrain from; to stop doing,Das Rauchen auf den Gängen ist zu unterlassen.
unternehmen,,to undertake; to do,Wollen wir heute Abend noch etwas unternehmen?
Unternehmer,der,entrepreneur,Sie ist erfolgreiche Unternehmerin.
unterrichten,,to teach,Meine Frau unterrichtet Spanisch.
Unterricht,der,lesson; class,Der Unterricht dauert von 17 bis 19 Uhr.
untersagt,,prohibited; forbidden,"Es ist untersagt, hier zu rauchen."
unterscheiden,,to distinguish,Ihr seid euch sehr ähnlich. Auf dem Foto kann man euch beide nicht unterscheiden.
Unterschied,der,difference,"Können Sie mir sagen, was der Unterschied ist? Welche Fahrkarte ist günstiger?"
unterschiedlich,,different,"Mein Bruder und ich sind sehr unterschiedlich. Er interessiert sich für Mathematik, ich mich für Sprachen."
unterschreiben,,to sign,Unterschreiben Sie bitte hier unten rechts.
Unterschrift,die,signature,Auf dem Schreiben fehlt die Unterschrift.
unterstreichen,,to underline,Wir sollen alle wichtigen Wörter unterstreichen.
unterstützen,,to support,"Sie unterstützen mich, wo sie nur können."
Unterstützung,die,support,Ich nehme Ihre Unterstützung gern an.
untersuchen,,to examine,Sie sollten sich vom Arzt untersuchen lassen.
Untersuchung,die,examination,Ich habe morgen eine Untersuchung im Krankenhaus.
unterwegs,,on the way,Warte auf mich. Ich bin unterwegs und komme gleich.
Urkunde,die,certificate,"Wenn wir das Spiel gewinnen, bekommen wir eine Urkunde."
Urlaub,der,vacation; holiday,CH:Ich habe noch drei Tage Urlaub.
Ursache,die,cause,Kennt man schon die Unfallursache?
verursachen,,to cause,Dieser Busfahrer verursachte den Unfall.
ursprünglich,,originally,Ursprünglich wollte ich in einem Restaurant arbeiten. Aber dann bin ich Busfahrerin geworden.
Urteil,das,judgment; verdict,Dein Urteil ist für mich sehr wichtig.
Vase,die,vase,Hast du eine Vase für die Blumen?
Vater,der,father,Mein Vater arbeitet in einem Restaurant.
verabredet,,arranged to meet; having plans,"Tut mir leid, ich habe keine Zeit. Ich bin mit meiner Freundin verabredet."
Verabredung,die,appointment; date,Ich habe heute Abend eine Verabredung.
Abschied,der,farewell; goodbye,Der Abschied fiel mir schwer.
Veranstaltung,die,event,Am Samstag ist unser Lokal geschlossen. Wir haben eine Veranstaltung.
verantwortlich,,responsible,Sie sind für Ihre Kinder verantwortlich.
Verantwortung,die,responsibility,Das ist eine große Verantwortung.
verbieten,,to forbid,Ich werde meinen Kindern das Rauchen verbieten.
Verbot,das,ban; prohibition,Ich bin für das Verbot dieses neuen Videospiels.
verboten,,forbidden,In den meisten Restaurants ist Rauchen verboten.
verbinden,,to connect; to bandage,Ich übe das Verb 'verbinden'.
Verbindung,die,connection,Die Verbindung ist sehr gut. Ich kann direkt mit diesem Zug fahren und muss nicht umsteigen.
verbrauchen,,to consume; to use up,Wie viel Benzin verbraucht dein Auto?
Verbrecher,der,criminal,Der Verbrecher wurde verhaftet.
verbringen,,to spend time,Wie haben Sie Ihren Urlaub verbracht?
Verdacht,der,suspicion,"Wer hat das Geld aus der Kasse genommen? – Ich weiß es nicht, aber ich habe einen Verdacht."
verdächtig,,suspicious,Die Tür war nicht abgeschlossen. Das ist verdächtig.
verdienen,,to earn,In diesem Beruf verdient man gut.
Verein,der,club; association,Ich bin schon seit 15 Jahren Mitglied in diesem Verein.
vereinbaren,,to arrange; to agree on,Können wir einen Termin vereinbaren?
Vergangenheit,die,past,In der Vergangenheit war das anders.
vergeblich,,in vain; unsuccessful,Ich habe vergeblich versucht dich anzurufen.
vergessen,,to forget,Ich habe den Termin ganz vergessen.
vergleichen,,to compare,Vergleichen Sie die Angebote.
Vergleich,der,comparison,Ein Vergleich ist schwer möglich.
sich vergnügen,,to enjoy oneself,Auf der Party habe ich mich sehr vergnügt.
Vergnügen,das,pleasure,"Es ist ein Vergnügen, den Kindern beim Spielen zuzusehen."
vergrößern,,to enlarge,Können Sie das Foto vergrößern?
verhaften,,to arrest,Die Polizei hat 23 Menschen verhaftet.
sich verhalten,,to behave,Der Mann hat sich uns gegenüber merkwürdig verhalten.
Verhalten,das,behavior,Das Verhalten ist heute wichtig.
Verhältnis,das,relationship; ratio,Ich habe ein gutes Verhältnis zu meinen Eltern.
verheiratet,,married,Mit wem sind Sie verheiratet?
verhindern,,to prevent,Wir konnten den Unfall nicht verhindern.
verkaufen,,to sell,Ich habe unser altes Auto verkauft.
Verkäufer,der,salesperson,Die Verkäuferin wird Ihnen gleich helfen.
Verkehr,der,traffic,Morgens ist hier immer viel Verkehr.
Verkehrsmittel,das,means of transport,Es gibt kaum Parkplätze. Sie sollten mit öffentlichen Verkehrsmitteln fahren.
verlangen,,to demand; to require,Jeden Tag Überstunden? Das können Sie nicht verlangen.
verlängern,,to extend; to renew,Ich muss meinen Pass verlängern lassen.
verlassen,,to leave,Ich habe die Party um 3 Uhr verlassen.
sich verlaufen,,to get lost,Ich habe mich im Wald verlaufen.
Verletzung,die,injury,Keine Angst. Die Verletzung ist nicht so schlimm.
sich verlieben,,to fall in love,Ich habe mich verliebt.
verliebt,,in love,Ich bin in Francesco verliebt.
verlieren,,to lose,Ich habe meine Brieftasche verloren.
Verlierer,der,loser,Sie ist eine gute Verliererin.
Verlust,der,loss,Der Verlust meiner Uhr ärgert mich sehr.
vermeiden,,to avoid,"Der Arzt sagt, ich soll Stress vermeiden."
vermieten,,to rent out,Bei uns im Haus ist ein Zimmer zu vermieten.
Vermieter,der,landlord,"Unsere Vermieterin ist eine sehr nette, ältere Frau."
Vermietung,die,rental; renting out,Mit der Vermietung von Wohnungen kann man viel Geld verdienen.
vermissen,,to miss,Ich vermisse meine Familie.
Vermittlung,die,placement; agency,Du suchst ein Zimmer? Dann frag bei der Vermittlung am Bahnhof nach.
vermuten,,to assume; to suspect,"Ich vermute, sie wird heute nicht kommen."
vermutlich,,probably; presumably,Vermutlich sagt er die Wahrheit.
